uid,isbn_13,isbn_10,title,authors,publisher,categories,averageRating,ratingsCount
Jve0DwAAQBAJ,9780241430347,0241430348,The Marvel Book,DK/Stephen Wiacek,Dorling Kindersley Ltd,Comics & Graphic Novels,0.0,0
03ZYRmOhwGsC,9780785170761,0785170766,Marvels,Kurt Busiek,Marvel Entertainment,Comics & Graphic Novels,4.0,50
1F2GPwAACAAJ,0810981467,9780810981461,Marvel,Les Daniels,Abradale/Abrams,Art,0.0,0
ESwuwYxQNpYC,9780062314697,0062314696,Marvel Comics,Sean Howe,Harper Collins,History,4.0,19
npIsZV7grboC,9780786451159,0786451157,Marvel Graphic Novels and Related Publications,Robert G. Weiner,McFarland,Literary Criticism,4.5,4
JOLQtwEACAAJ,1368025269,9781368025263,Marvel Powers of a Girl,Lorraine Cink,Marvel Press,Young Adult Fiction,0.0,0
b4x6CgAAQBAJ,9781302482442,1302482440,The Marvel Legacy of Jack Kirby,John Rhett Thomas/Various,Marvel Entertainment,Comics & Graphic Novels,0.0,0
xIUpAgAAQBAJ,9780785180173,0785180176,Marvel Zombies 4,Fred Van Lente,Marvel Entertainment,Comics & Graphic Novels,4.0,2
